Reichenau-/Schneckenburgstraﬂe;87;47.6716929;9.1675582;332;557;
Reute / Winkelstraﬂe;88;47.681129;9.15595595;256;440;
Reute-/ Freib¸rgleweg;89;47.6826013;9.1525696;243;431;
Ried/Reichenaustraﬂe;90;47.67838195;9.1461722;198;497;
Riedstraﬂe;91;47.6843757;9.14739625;199;407;
Rosenau;92;47.6670311;9.1988692;597;578;
Rudolf-Diesel-Straﬂe;93;47.6745761;9.1523354;215;551;
Salzberg;94;47.67351021;9.192572863;565;512;
Salzberg / Allmannsdorferstraﬂe;95;47.6738002;9.1881205;UNKNOWN;UNKNOWN;
Schnetztor;96;47.6583322;9.1716046;423;782;
Schottenplatz;97;47.6658073;9.1739574;399;657;
Schulthaiﬂstraﬂe;98;47.66150595;9.1664168;318;740;
Schwaketenbad;99;47.6878955;9.1605849;337;307;
Schwaketenstraﬂe;100;47.68927185;9.15312635;277;308;
Sigismundstraﬂe;101;47.6585427;9.1752501;UNKNOWN;UNKNOWN;
Sonnenb¸hlstraﬂe;102;47.6787176;9.19151055;571;442;
Sonnenb¸hlstraﬂe / Rauhgasse;103;47.6801905;9.1860576;527;442;
Staad / Autof‰hre;104;47.68189;9.211004;730;448;
Stadtwerke;105;47.67558085;9.16248965;327;510;
Stefansschule;106;47.6626131;9.1728565;417;701;
Sternenplatz;107;47.66753885;9.17948555;504;585;
Sternenplatz / Spanierstraﬂe;108;47.6674549;9.1788362;479;571;
Stromeyersdorf;109;47.6730485;9.15897715;258;549;
Taborweg;110;47.67936595;9.168914;371;437;
Tannenhof;111;47.67487055;9.19745615;613;496;
Tenbrinkstraﬂe;112;47.67123695;9.17630255;408;558;
Universit‰t;113;47.6898913;9.187678;521;369;
Urisberg;114;47.6899272;9.1512025;247;308;
Wallhausen / Birnaublick;115;47.7471888;9.12920535;176;60;
Wallhausen / Hafen;116;47.7464375;9.1360784;259;60;
Wallhausen / Linzgaublick;117;47.7460257;9.1328211;225;60;
Wessenbergschule;118;47.6667006;9.1628066;UNKNOWN;UNKNOWN;
Wollmatingen / Kindlebildstr.;119;47.6914508;9.14533095;173;335;
Wollmatingen / Radolfzeller Str.;120;47.69433465;9.1417311;100;283;
Wollmatingen / Rathaus;121;47.69187425;9.1460346;UNKNOWN;UNKNOWN;
ZP Reichenau;122;47.6923791;9.1281549;88;325;
Z‰hringerplatz;123;47.67257045;9.1836473;504;527;
