78;07:56;07:56;12;07:58;07:58;59;08:00;08:00;106;08:01;08:01;69;08:02;08:02;108;08:05;08:05;112;08:07;08:07;77;08:08;08:08;51;08:09;08:09;105;08:10;08:10;82;08:11;08:11;109;08:12;08:12;70;08:13;08:13;93;08:14;08:14;24;08:15;08:15;46;08:16;08:16;21;08:18;08:18;8;08:19;08:19;91;08:20;08:20;11;08:21;08:21;121;08:23;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;08:05;08:05;21;08:06;08:06;90;08:07;08:07;93;08:09;08:09;109;08:10;08:10;82;08:11;08:11;105;08:12;08:12;51;08:14;08:14;77;08:15;08:15;112;08:16;08:16;54;08:17;08:17;108;08:18;08:18;66;08:20;08:20;78;08:21;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;08:06;08:06;73;08:07;08:07;71;08:08;08:08;3;08:10;08:10;74;08:11;08:11;121;08:13;08:13;11;08:14;08:14;91;08:15;08:15;8;08:16;08:16;21;08:17;08:17;90;08:18;08:18;93;08:20;08:20;109;08:21;08:21;82;08:22;08:22;105;08:23;08:23;51;08:25;08:25;77;08:26;08:26;112;08:27;08:27;54;08:28;08:28;108;08:29;08:29;66;08:31;08:31;78;08:32;-1;;;;;;;;;;;;;;;;;;;;;;;;
78;08:07;08:07;12;08:09;08:09;34;08:10;08:10;35;08:11;08:11;98;08:12;08:12;18;08:13;08:13;49;08:15;08:15;40;08:16;08:16;69;08:17;08:17;108;08:20;08:20;112;08:22;08:22;77;08:23;08:23;51;08:24;08:24;105;08:25;08:25;82;08:26;08:26;109;08:27;08:27;70;08:28;08:28;93;08:29;08:29;24;08:30;08:30;46;08:31;08:31;21;08:33;08:33;8;08:34;08:34;91;08:35;08:35;11;08:36;08:36;119;08:38;08:38;42;08:39;08:39;122;08:40;-1;;;;;;;;;
78;08:26;08:26;12;08:28;08:28;59;08:30;08:30;106;08:31;08:31;69;08:32;08:32;108;08:35;08:35;112;08:37;08:37;77;08:38;08:38;51;08:39;08:39;105;08:40;08:40;82;08:41;08:41;109;08:42;08:42;70;08:43;08:43;93;08:44;08:44;24;08:45;08:45;46;08:46;08:46;21;08:48;08:48;8;08:49;08:49;91;08:50;08:50;11;08:51;08:51;121;08:53;08:53;74;08:54;08:54;3;08:55;08:55;71;08:57;08:57;73;08:58;08:58;72;08:59;-1;;;;;;;;;;;;
121;08:28;08:28;11;08:29;08:29;91;08:30;08:30;8;08:31;08:31;21;08:32;08:32;90;08:33;08:33;93;08:35;08:35;109;08:36;08:36;82;08:37;08:37;105;08:38;08:38;51;08:40;08:40;77;08:41;08:41;112;08:42;08:42;54;08:43;08:43;108;08:44;08:44;66;08:46;08:46;78;08:47;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;08:37;08:37;12;08:39;08:39;34;08:40;08:40;35;08:41;08:41;98;08:42;08:42;18;08:43;08:43;49;08:45;08:45;40;08:46;08:46;69;08:47;08:47;108;08:50;08:50;112;08:52;08:52;77;08:53;08:53;51;08:54;08:54;105;08:55;08:55;82;08:56;08:56;109;08:57;08:57;70;08:58;08:58;93;08:59;08:59;24;09:00;09:00;46;09:01;09:01;21;09:03;09:03;8;09:04;09:04;91;09:05;09:05;11;09:06;09:06;121;09:08;-1;;;;;;;;;;;;;;;
121;08:43;08:43;11;08:44;08:44;91;08:45;08:45;8;08:46;08:46;21;08:47;08:47;90;08:48;08:48;93;08:50;08:50;109;08:51;08:51;82;08:52;08:52;105;08:53;08:53;51;08:55;08:55;77;08:56;08:56;112;08:57;08:57;54;08:58;08:58;108;08:59;08:59;66;09:01;09:01;78;09:02;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;08:55;08:55;42;08:56;08:56;119;08:57;08:57;11;08:59;08:59;91;09:00;09:00;8;09:01;09:01;21;09:02;09:02;90;09:03;09:03;93;09:05;09:05;109;09:06;09:06;82;09:07;09:07;105;09:08;09:08;51;09:10;09:10;77;09:11;09:11;112;09:12;09:12;54;09:13;09:13;108;09:14;09:14;66;09:16;09:16;78;09:17;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;08:56;08:56;12;08:58;08:58;59;09:00;09:00;106;09:01;09:01;69;09:02;09:02;108;09:05;09:05;112;09:07;09:07;77;09:08;09:08;51;09:09;09:09;105;09:10;09:10;82;09:11;09:11;109;09:12;09:12;70;09:13;09:13;93;09:14;09:14;24;09:15;09:15;46;09:16;09:16;21;09:18;09:18;8;09:19;09:19;91;09:20;09:20;11;09:21;09:21;121;09:23;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;09:06;09:06;73;09:07;09:07;71;09:08;09:08;3;09:10;09:10;74;09:11;09:11;121;09:13;09:13;11;09:14;09:14;91;09:15;09:15;8;09:16;09:16;21;09:17;09:17;90;09:18;09:18;93;09:20;09:20;109;09:21;09:21;82;09:22;09:22;105;09:23;09:23;51;09:25;09:25;77;09:26;09:26;112;09:27;09:27;54;09:28;09:28;108;09:29;09:29;66;09:31;09:31;78;09:32;-1;;;;;;;;;;;;;;;;;;;;;;;;
78;09:07;09:07;12;09:09;09:09;34;09:10;09:10;35;09:11;09:11;98;09:12;09:12;18;09:13;09:13;49;09:15;09:15;40;09:16;09:16;69;09:17;09:17;108;09:20;09:20;112;09:22;09:22;77;09:23;09:23;51;09:24;09:24;105;09:25;09:25;82;09:26;09:26;109;09:27;09:27;70;09:28;09:28;93;09:29;09:29;24;09:30;09:30;46;09:31;09:31;21;09:33;09:33;8;09:34;09:34;91;09:35;09:35;11;09:36;09:36;119;09:38;09:38;42;09:39;09:39;122;09:40;-1;;;;;;;;;
78;09:26;09:26;12;09:28;09:28;59;09:30;09:30;106;09:31;09:31;69;09:32;09:32;108;09:35;09:35;112;09:37;09:37;77;09:38;09:38;51;09:39;09:39;105;09:40;09:40;82;09:41;09:41;109;09:42;09:42;70;09:43;09:43;93;09:44;09:44;24;09:45;09:45;46;09:46;09:46;21;09:48;09:48;8;09:49;09:49;91;09:50;09:50;11;09:51;09:51;121;09:53;09:53;74;09:54;09:54;3;09:55;09:55;71;09:57;09:57;73;09:58;09:58;72;09:59;-1;;;;;;;;;;;;
121;09:28;09:28;11;09:29;09:29;91;09:30;09:30;8;09:31;09:31;21;09:32;09:32;90;09:33;09:33;93;09:35;09:35;109;09:36;09:36;82;09:37;09:37;105;09:38;09:38;51;09:40;09:40;77;09:41;09:41;112;09:42;09:42;54;09:43;09:43;108;09:44;09:44;66;09:46;09:46;78;09:47;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;09:37;09:37;12;09:39;09:39;34;09:40;09:40;35;09:41;09:41;98;09:42;09:42;18;09:43;09:43;49;09:45;09:45;40;09:46;09:46;69;09:47;09:47;108;09:50;09:50;112;09:52;09:52;77;09:53;09:53;51;09:54;09:54;105;09:55;09:55;82;09:56;09:56;109;09:57;09:57;70;09:58;09:58;93;09:59;09:59;24;10:00;10:00;46;10:01;10:01;21;10:03;10:03;8;10:04;10:04;91;10:05;10:05;11;10:06;10:06;121;10:08;-1;;;;;;;;;;;;;;;
121;09:43;09:43;11;09:44;09:44;91;09:45;09:45;8;09:46;09:46;21;09:47;09:47;90;09:48;09:48;93;09:50;09:50;109;09:51;09:51;82;09:52;09:52;105;09:53;09:53;51;09:55;09:55;77;09:56;09:56;112;09:57;09:57;54;09:58;09:58;108;09:59;09:59;66;10:01;10:01;78;10:02;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;09:55;09:55;42;09:56;09:56;119;09:57;09:57;11;09:59;09:59;91;10:00;10:00;8;10:01;10:01;21;10:02;10:02;90;10:03;10:03;93;10:05;10:05;109;10:06;10:06;82;10:07;10:07;105;10:08;10:08;51;10:10;10:10;77;10:11;10:11;112;10:12;10:12;54;10:13;10:13;108;10:14;10:14;66;10:16;10:16;78;10:17;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;09:56;09:56;12;09:58;09:58;59;10:00;10:00;106;10:01;10:01;69;10:02;10:02;108;10:05;10:05;112;10:07;10:07;77;10:08;10:08;51;10:09;10:09;105;10:10;10:10;82;10:11;10:11;109;10:12;10:12;70;10:13;10:13;93;10:14;10:14;24;10:15;10:15;46;10:16;10:16;21;10:18;10:18;8;10:19;10:19;91;10:20;10:20;11;10:21;10:21;121;10:23;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;10:06;10:06;73;10:07;10:07;71;10:08;10:08;3;10:10;10:10;74;10:11;10:11;121;10:13;10:13;11;10:14;10:14;91;10:15;10:15;8;10:16;10:16;21;10:17;10:17;90;10:18;10:18;93;10:20;10:20;109;10:21;10:21;82;10:22;10:22;105;10:23;10:23;51;10:25;10:25;77;10:26;10:26;112;10:27;10:27;54;10:28;10:28;108;10:29;10:29;66;10:31;10:31;78;10:32;-1;;;;;;;;;;;;;;;;;;;;;;;;
78;10:07;10:07;12;10:09;10:09;34;10:10;10:10;35;10:11;10:11;98;10:12;10:12;18;10:13;10:13;49;10:15;10:15;40;10:16;10:16;69;10:17;10:17;108;10:20;10:20;112;10:22;10:22;77;10:23;10:23;51;10:24;10:24;105;10:25;10:25;82;10:26;10:26;109;10:27;10:27;70;10:28;10:28;93;10:29;10:29;24;10:30;10:30;46;10:31;10:31;21;10:33;10:33;8;10:34;10:34;91;10:35;10:35;11;10:36;10:36;121;10:38;-1;;;;;;;;;;;;;;;
78;10:26;10:26;12;10:28;10:28;59;10:30;10:30;106;10:31;10:31;69;10:32;10:32;108;10:35;10:35;112;10:37;10:37;77;10:38;10:38;51;10:39;10:39;105;10:40;10:40;82;10:41;10:41;109;10:42;10:42;70;10:43;10:43;93;10:44;10:44;24;10:45;10:45;46;10:46;10:46;21;10:48;10:48;8;10:49;10:49;91;10:50;10:50;11;10:51;10:51;121;10:53;10:53;74;10:54;10:54;3;10:55;10:55;71;10:57;10:57;73;10:58;10:58;72;10:59;-1;;;;;;;;;;;;
121;10:28;10:28;11;10:29;10:29;91;10:30;10:30;8;10:31;10:31;21;10:32;10:32;90;10:33;10:33;93;10:35;10:35;109;10:36;10:36;82;10:37;10:37;105;10:38;10:38;51;10:40;10:40;77;10:41;10:41;112;10:42;10:42;54;10:43;10:43;108;10:44;10:44;66;10:46;10:46;78;10:47;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
