6;07:40;07:40;66;07:41;07:41;107;07:43;07:43;123;07:45;07:45;2;07:46;07:46;94;07:47;07:47;111;07:48;07:48;5;07:49;07:49;1;07:50;07:50;61;07:52;07:52;37;07:54;07:54;76;07:56;07:56;71;07:59;07:59;73;08:00;08:00;72;08:01;08:01;83;08:03;08:03;33;08:04;08:04;31;08:05;08:05;32;08:06;08:06;30;08:07;08:07;116;08:09;08:09;115;08:10;08:10;29;08:12;08:12;27;08:13;08:13;28;08:13;08:13;26;08:14;-1
26;07:50;07:50;27;07:51;07:51;29;07:52;07:52;115;07:54;07:54;116;07:55;07:55;30;07:57;07:57;32;07:58;07:58;31;07:59;07:59;33;08:00;08:00;83;08:01;08:01;72;08:03;08:03;73;08:04;08:04;71;08:05;08:05;76;08:08;08:08;37;08:10;08:10;61;08:12;08:12;1;08:14;08:14;5;08:15;08:15;111;08:17;08:17;95;08:18;08:18;2;08:19;08:19;123;08:21;08:21;107;08:23;08:23;66;08:25;08:25;78;08:26;-1;;;
6;08:10;08:10;66;08:11;08:11;107;08:13;08:13;123;08:15;08:15;2;08:16;08:16;94;08:17;08:17;111;08:18;08:18;5;08:19;08:19;1;08:20;08:20;61;08:22;08:22;37;08:24;08:24;76;08:26;08:26;71;08:29;08:29;73;08:30;08:30;72;08:31;08:31;83;08:33;08:33;33;08:34;08:34;31;08:35;08:35;32;08:36;08:36;30;08:37;08:37;116;08:39;08:39;115;08:40;08:40;29;08:42;08:42;27;08:43;08:43;26;08:44;-1;;;
26;08:20;08:20;27;08:21;08:21;29;08:22;08:22;115;08:24;08:24;116;08:25;08:25;30;08:27;08:27;32;08:28;08:28;31;08:29;08:29;33;08:30;08:30;83;08:31;08:31;72;08:33;08:33;73;08:34;08:34;71;08:35;08:35;76;08:38;08:38;37;08:40;08:40;61;08:42;08:42;1;08:44;08:44;5;08:45;08:45;111;08:47;08:47;95;08:48;08:48;2;08:49;08:49;123;08:51;08:51;107;08:53;08:53;66;08:55;08:55;78;08:56;-1;;;
116;08:40;08:40;30;08:42;08:42;32;08:43;08:43;31;08:44;08:44;33;08:45;08:45;83;08:46;08:46;72;08:48;08:48;73;08:49;08:49;71;08:50;08:50;76;08:53;08:53;37;08:55;08:55;61;08:57;08:57;1;08:59;08:59;5;09:00;09:00;111;09:02;09:02;95;09:03;09:03;2;09:04;09:04;123;09:06;09:06;107;09:08;09:08;66;09:10;09:10;78;09:11;-1;;;;;;;;;;;;;;;
6;08:40;08:40;66;08:41;08:41;107;08:43;08:43;123;08:45;08:45;2;08:46;08:46;94;08:47;08:47;111;08:48;08:48;5;08:49;08:49;1;08:50;08:50;61;08:52;08:52;37;08:54;08:54;76;08:56;08:56;71;08:59;08:59;73;09:00;09:00;72;09:01;09:01;83;09:03;09:03;33;09:04;09:04;31;09:05;09:05;32;09:06;09:06;30;09:07;09:07;116;09:09;09:09;117;09:10;-1;;;;;;;;;;;;
26;08:50;08:50;27;08:51;08:51;29;08:52;08:52;115;08:54;08:54;116;08:55;08:55;30;08:57;08:57;32;08:58;08:58;31;08:59;08:59;33;09:00;09:00;83;09:01;09:01;72;09:03;09:03;73;09:04;09:04;71;09:05;09:05;76;09:08;09:08;37;09:10;09:10;61;09:12;09:12;1;09:14;09:14;5;09:15;09:15;111;09:17;09:17;95;09:18;09:18;2;09:19;09:19;123;09:21;09:21;107;09:23;09:23;66;09:25;09:25;78;09:26;-1;;;
6;09:10;09:10;66;09:11;09:11;107;09:13;09:13;123;09:15;09:15;2;09:16;09:16;94;09:17;09:17;111;09:18;09:18;5;09:19;09:19;1;09:20;09:20;61;09:22;09:22;37;09:24;09:24;76;09:26;09:26;71;09:29;09:29;73;09:30;09:30;72;09:31;09:31;83;09:33;09:33;33;09:34;09:34;31;09:35;09:35;32;09:36;09:36;30;09:37;09:37;116;09:39;09:39;115;09:40;09:40;29;09:42;09:42;27;09:43;09:43;26;09:44;-1;;;
117;09:24;09:24;116;09:25;09:25;30;09:27;09:27;32;09:28;09:28;31;09:29;09:29;33;09:30;09:30;83;09:31;09:31;72;09:33;09:33;73;09:34;09:34;71;09:35;09:35;76;09:38;09:38;37;09:40;09:40;61;09:42;09:42;1;09:44;09:44;5;09:45;09:45;111;09:47;09:47;95;09:48;09:48;2;09:49;09:49;123;09:51;09:51;107;09:53;09:53;66;09:55;09:55;78;09:56;-1;;;;;;;;;;;;
116;09:40;09:40;30;09:42;09:42;32;09:43;09:43;31;09:44;09:44;33;09:45;09:45;83;09:46;09:46;72;09:48;09:48;73;09:49;09:49;71;09:50;09:50;76;09:53;09:53;37;09:55;09:55;61;09:57;09:57;1;09:59;09:59;5;10:00;10:00;111;10:02;10:02;95;10:03;10:03;2;10:04;10:04;123;10:06;10:06;107;10:08;10:08;66;10:10;10:10;78;10:11;-1;;;;;;;;;;;;;;;
