117;06:24;06:24;115;06:25;06:25;29;06:27;06:27;27;06:28;06:28;26;06:29;06:29;121;06:36;06:36;11;06:37;06:37;91;06:38;06:38;8;06:39;06:39;21;06:39;06:39;90;06:40;06:40;93;06:42;06:42;109;06:43;06:43;82;06:44;06:44;105;06:45;06:45;51;06:46;06:46;77;06:47;06:47;112;06:48;06:48;54;06:49;06:49;108;06:50;06:50;66;06:51;06:51;78;06:52;-1;;;;;;;;;;;;;;;;;;
71;06:30;06:30;73;06:31;06:31;72;06:32;06:32;83;06:34;06:34;31;06:36;06:36;32;06:37;06:37;30;06:38;06:38;116;06:40;06:40;117;06:41;06:41;115;06:42;06:42;29;06:44;06:44;27;06:45;06:45;26;06:46;06:46;121;06:54;06:54;11;06:55;06:55;91;06:56;06:56;8;06:57;06:57;21;06:58;06:58;90;06:59;06:59;93;07:01;07:01;109;07:03;07:03;118;07:06;07:06;41;07:07;07:07;40;07:08;07:08;23;07:10;07:10;96;07:12;07:12;12;07:13;07:13;6;07:15;-1
6;06:31;06:31;66;06:32;06:32;107;06:34;06:34;123;06:36;06:36;44;06:38;06:38;58;06:40;06:40;121;06:43;06:43;26;06:51;06:51;27;06:52;06:52;29;06:53;06:53;115;06:55;06:55;117;06:56;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;06:56;06:56;115;06:57;06:57;29;06:59;06:59;27;07:00;07:00;26;07:01;07:01;121;07:09;07:09;58;07:12;07:12;44;07:15;07:15;123;07:17;07:17;107;07:19;07:19;66;07:21;07:21;78;07:22;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;07:01;07:01;66;07:02;07:02;107;07:04;07:04;123;07:06;07:06;44;07:08;07:08;58;07:10;07:10;121;07:13;07:13;26;07:21;07:21;27;07:22;07:22;29;07:23;07:23;115;07:25;07:25;117;07:26;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;07:05;07:05;29;07:07;07:07;27;07:08;07:08;28;07:08;07:08;26;07:09;07:09;121;07:16;07:16;58;07:19;07:19;44;07:22;07:22;123;07:24;07:24;107;07:26;07:26;97;07:27;07:27;23;07:28;07:28;96;07:29;07:29;12;07:30;07:30;6;07:31;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;07:08;07:08;115;07:09;07:09;29;07:11;07:11;27;07:12;07:12;26;07:13;07:13;121;07:21;07:21;11;07:22;07:22;91;07:23;07:23;8;07:24;07:24;21;07:25;07:25;90;07:26;07:26;93;07:28;07:28;109;07:30;07:30;118;07:33;07:33;41;07:34;07:34;40;07:35;07:35;23;07:37;07:37;96;07:39;07:39;12;07:40;07:40;6;07:42;-1;;;;;;;;;;;;;;;;;;;;;;;;
117;07:26;07:26;115;07:27;07:27;29;07:29;07:29;27;07:30;07:30;26;07:31;07:31;121;07:39;07:39;58;07:42;07:42;44;07:45;07:45;123;07:47;07:47;107;07:49;07:49;66;07:51;07:51;78;07:52;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;07:31;07:31;66;07:32;07:32;107;07:34;07:34;123;07:36;07:36;44;07:38;07:38;58;07:40;07:40;121;07:43;07:43;26;07:51;07:51;27;07:52;07:52;29;07:53;07:53;115;07:55;07:55;117;07:56;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;07:38;07:38;115;07:39;07:39;29;07:41;07:41;27;07:42;07:42;26;07:43;07:43;121;07:51;07:51;11;07:52;07:52;91;07:53;07:53;8;07:54;07:54;21;07:55;07:55;90;07:56;07:56;93;07:58;07:58;109;08:00;08:00;118;08:03;08:03;41;08:04;08:04;40;08:05;08:05;23;08:07;08:07;96;08:09;08:09;12;08:10;08:10;6;08:12;-1;;;;;;;;;;;;;;;;;;;;;;;;
