123;19:37;19:37;107;19:39;19:39;66;19:41;19:41;78;19:42;19:42;67;19:46;-1
67;19:39;19:39;6;19:43;19:43;66;19:44;19:44;107;19:46;19:46;123;19:48;-1
67;20:09;20:09;6;20:13;20:13;66;20:14;20:14;107;20:16;20:16;123;20:18;-1
65;20:29;20:29;67;20:32;-1;;;;;;;;;
67;20:39;20:39;6;20:43;20:43;66;20:44;20:44;107;20:46;20:46;123;20:48;-1
67;21:23;21:23;65;21:26;-1;;;;;;;;;
65;21:29;21:29;67;21:32;-1;;;;;;;;;
67;22:23;22:23;65;22:26;-1;;;;;;;;;
65;22:29;22:29;67;22:32;-1;;;;;;;;;
67;23:23;23:23;65;23:26;-1;;;;;;;;;
65;23:29;23:29;67;23:32;-1;;;;;;;;;
