43;11:10;11:10;13;11:11;11:11;63;11:13;11:13;92;11:14;11:14;57;11:15;11:15;64;11:16;11:16;107;11:18;11:18;66;11:20;11:20;78;11:21;-1;;;;;;;;;
78;11:24;11:24;12;11:26;11:26;59;11:28;11:28;106;11:29;11:29;69;11:30;11:30;107;11:32;11:32;38;11:34;11:34;57;11:35;11:35;92;11:36;11:36;63;11:37;11:37;14;11:38;11:38;43;11:39;-1
43;11:25;11:25;13;11:26;11:26;63;11:28;11:28;92;11:29;11:29;57;11:30;11:30;64;11:31;11:31;107;11:33;11:33;66;11:35;11:35;78;11:36;-1;;;;;;;;;
78;11:39;11:39;12;11:41;11:41;59;11:43;11:43;106;11:44;11:44;69;11:45;11:45;107;11:47;11:47;38;11:49;11:49;57;11:50;11:50;92;11:51;11:51;63;11:52;11:52;14;11:53;11:53;43;11:54;-1
43;11:40;11:40;13;11:41;11:41;63;11:43;11:43;92;11:44;11:44;57;11:45;11:45;64;11:46;11:46;107;11:48;11:48;66;11:50;11:50;78;11:51;-1;;;;;;;;;
78;11:54;11:54;12;11:56;11:56;59;11:58;11:58;106;11:59;11:59;69;12:00;12:00;107;12:02;12:02;38;12:04;12:04;57;12:05;12:05;92;12:06;12:06;63;12:07;12:07;14;12:08;12:08;43;12:09;-1
43;11:55;11:55;13;11:56;11:56;63;11:58;11:58;92;11:59;11:59;57;12:00;12:00;64;12:01;12:01;107;12:03;12:03;66;12:05;12:05;78;12:06;-1;;;;;;;;;
78;12:09;12:09;12;12:11;12:11;59;12:13;12:13;106;12:14;12:14;69;12:15;12:15;107;12:17;12:17;38;12:19;12:19;57;12:20;12:20;92;12:21;12:21;63;12:22;12:22;14;12:23;12:23;43;12:24;-1
43;12:10;12:10;13;12:11;12:11;63;12:13;12:13;92;12:14;12:14;57;12:15;12:15;64;12:16;12:16;107;12:18;12:18;66;12:20;12:20;78;12:21;-1;;;;;;;;;
78;12:24;12:24;12;12:26;12:26;59;12:28;12:28;106;12:29;12:29;69;12:30;12:30;107;12:32;12:32;38;12:34;12:34;57;12:35;12:35;92;12:36;12:36;63;12:37;12:37;14;12:38;12:38;43;12:39;-1
43;12:25;12:25;13;12:26;12:26;63;12:28;12:28;92;12:29;12:29;57;12:30;12:30;64;12:31;12:31;107;12:33;12:33;66;12:35;12:35;78;12:36;-1;;;;;;;;;
78;12:39;12:39;12;12:41;12:41;59;12:43;12:43;106;12:44;12:44;69;12:45;12:45;107;12:47;12:47;38;12:49;12:49;57;12:50;12:50;92;12:51;12:51;63;12:52;12:52;14;12:53;12:53;43;12:54;-1
43;12:40;12:40;13;12:41;12:41;63;12:43;12:43;92;12:44;12:44;57;12:45;12:45;64;12:46;12:46;107;12:48;12:48;66;12:50;12:50;78;12:51;-1;;;;;;;;;
78;12:54;12:54;12;12:56;12:56;59;12:58;12:58;106;12:59;12:59;69;13:00;13:00;107;13:02;13:02;38;13:04;13:04;57;13:05;13:05;92;13:06;13:06;63;13:07;13:07;14;13:08;13:08;43;13:09;-1
43;12:55;12:55;13;12:56;12:56;63;12:58;12:58;92;12:59;12:59;57;13:00;13:00;64;13:01;13:01;107;13:03;13:03;66;13:05;13:05;78;13:06;-1;;;;;;;;;
78;13:09;13:09;12;13:11;13:11;59;13:13;13:13;106;13:14;13:14;69;13:15;13:15;107;13:17;13:17;38;13:19;13:19;57;13:20;13:20;92;13:21;13:21;63;13:22;13:22;14;13:23;13:23;43;13:24;-1
43;13:10;13:10;13;13:11;13:11;63;13:13;13:13;92;13:14;13:14;57;13:15;13:15;64;13:16;13:16;107;13:18;13:18;66;13:20;13:20;78;13:21;-1;;;;;;;;;
78;13:24;13:24;12;13:26;13:26;59;13:28;13:28;106;13:29;13:29;69;13:30;13:30;107;13:32;13:32;38;13:34;13:34;57;13:35;13:35;92;13:36;13:36;63;13:37;13:37;14;13:38;13:38;43;13:39;-1
43;13:25;13:25;13;13:26;13:26;63;13:28;13:28;92;13:29;13:29;57;13:30;13:30;64;13:31;13:31;107;13:33;13:33;66;13:35;13:35;78;13:36;-1;;;;;;;;;
78;13:39;13:39;12;13:41;13:41;59;13:43;13:43;106;13:44;13:44;69;13:45;13:45;107;13:47;13:47;38;13:49;13:49;57;13:50;13:50;92;13:51;13:51;63;13:52;13:52;14;13:53;13:53;43;13:54;-1
43;13:40;13:40;13;13:41;13:41;63;13:43;13:43;92;13:44;13:44;57;13:45;13:45;64;13:46;13:46;107;13:48;13:48;66;13:50;13:50;78;13:51;-1;;;;;;;;;
78;13:54;13:54;12;13:56;13:56;59;13:58;13:58;106;13:59;13:59;69;14:00;14:00;107;14:02;14:02;38;14:04;14:04;57;14:05;14:05;92;14:06;14:06;63;14:07;14:07;14;14:08;14:08;43;14:09;-1
