8;06:33;06:33;62;06:34;06:34;55;06:36;06:36;58;06:37;06:37;53;06:39;06:39;50;06:40;06:40;113;06:44;-1;;;;;;;;;;;;;;;;;;;;;
113;06:44;06:44;53;06:48;06:48;19;06:49;06:49;58;06:50;06:50;16;06:52;06:52;17;06:53;06:53;8;06:54;-1;;;;;;;;;;;;;;;;;;;;;
121;06:45;06:45;10;06:47;06:47;55;06:48;06:48;58;06:49;06:49;53;06:51;06:51;50;06:52;06:52;113;06:56;-1;;;;;;;;;;;;;;;;;;;;;
8;07:00;07:00;62;07:01;07:01;55;07:03;07:03;58;07:04;07:04;53;07:06;07:06;50;07:07;07:07;113;07:11;-1;;;;;;;;;;;;;;;;;;;;;
113;07:11;07:11;53;07:15;07:15;19;07:16;07:16;58;07:17;07:17;16;07:19;07:19;17;07:20;07:20;8;07:21;-1;;;;;;;;;;;;;;;;;;;;;
31;07:14;07:14;83;07:16;07:16;72;07:18;07:18;73;07:19;07:19;71;07:20;07:20;3;07:22;07:22;74;07:23;07:23;121;07:25;07:25;10;07:27;07:27;55;07:28;07:28;58;07:29;07:29;53;07:31;07:31;50;07:32;07:32;113;07:36;-1
8;07:40;07:40;62;07:41;07:41;55;07:43;07:43;58;07:44;07:44;53;07:46;07:46;50;07:47;07:47;113;07:51;-1;;;;;;;;;;;;;;;;;;;;;
113;07:40;07:40;99;07:45;07:45;121;07:50;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;07:52;07:52;11;07:53;07:53;91;07:54;07:54;8;07:55;07:55;8;07:56;07:56;62;07:57;07:57;55;07:59;07:59;58;08:00;08:00;53;08:02;08:02;50;08:03;08:03;113;08:07;-1;;;;;;;;;
113;07:53;07:53;53;07:57;07:57;19;07:58;07:58;58;07:59;07:59;16;08:01;08:01;17;08:02;08:02;8;08:03;-1;;;;;;;;;;;;;;;;;;;;;
8;08:08;08:08;62;08:09;08:09;55;08:11;08:11;58;08:12;08:12;53;08:14;08:14;50;08:15;08:15;113;08:19;-1;;;;;;;;;;;;;;;;;;;;;
113;08:10;08:10;99;08:15;08:15;121;08:20;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;08:19;08:19;53;08:23;08:23;19;08:24;08:24;58;08:25;08:25;16;08:27;08:27;17;08:28;08:28;8;08:29;-1;;;;;;;;;;;;;;;;;;;;;
121;08:22;08:22;10;08:24;08:24;55;08:25;08:25;58;08:26;08:26;53;08:28;08:28;50;08:29;08:29;113;08:33;-1;;;;;;;;;;;;;;;;;;;;;
8;08:31;08:31;62;08:32;08:32;55;08:34;08:34;58;08:35;08:35;53;08:37;08:37;50;08:38;08:38;113;08:42;-1;;;;;;;;;;;;;;;;;;;;;
113;08:42;08:42;53;08:46;08:46;19;08:47;08:47;58;08:48;08:48;16;08:50;08:50;17;08:51;08:51;8;08:52;-1;;;;;;;;;;;;;;;;;;;;;
8;09:01;09:01;62;09:02;09:02;55;09:04;09:04;58;09:05;09:05;53;09:07;09:07;50;09:08;09:08;113;09:12;-1;;;;;;;;;;;;;;;;;;;;;
