6;09:18;09:18;66;09:19;09:19;107;09:21;09:21;123;09:23;09:23;45;09:25;09:25;68;09:26;09:26;60;09:27;09:27;113;09:30;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;09:27;09:27;60;09:29;09:29;68;09:30;09:30;45;09:31;09:31;123;09:33;09:33;107;09:35;09:35;97;09:37;09:37;40;09:38;09:38;49;09:39;09:39;18;09:41;09:41;98;09:42;09:42;35;09:43;09:43;34;09:44;09:44;96;09:45;09:45;12;09:46;09:46;6;09:48;-1;;;;;;;;;
6;09:33;09:33;66;09:34;09:34;107;09:36;09:36;123;09:38;09:38;2;09:39;09:39;94;09:40;09:40;111;09:41;09:41;102;09:43;09:43;103;09:44;09:44;60;09:45;09:45;113;09:48;-1;;;;;;;;;;;;;;;;;;;;;;;;
113;09:43;09:43;60;09:45;09:45;103;09:46;09:46;102;09:47;09:47;111;09:49;09:49;95;09:50;09:50;2;09:51;09:51;123;09:53;09:53;107;09:55;09:55;97;09:57;09:57;23;09:58;09:58;96;10:00;10:00;12;10:01;10:01;6;10:03;-1;;;;;;;;;;;;;;;
6;09:48;09:48;66;09:49;09:49;107;09:51;09:51;123;09:53;09:53;45;09:55;09:55;68;09:56;09:56;60;09:57;09:57;113;10:00;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;09:57;09:57;60;09:59;09:59;68;10:00;10:00;45;10:01;10:01;123;10:03;10:03;107;10:05;10:05;97;10:07;10:07;40;10:08;10:08;49;10:09;10:09;18;10:11;10:11;98;10:12;10:12;35;10:13;10:13;34;10:14;10:14;96;10:15;10:15;12;10:16;10:16;6;10:18;-1;;;;;;;;;
6;10:03;10:03;66;10:04;10:04;107;10:06;10:06;123;10:08;10:08;2;10:09;10:09;94;10:10;10:10;111;10:11;10:11;102;10:13;10:13;103;10:14;10:14;60;10:15;10:15;113;10:18;-1;;;;;;;;;;;;;;;;;;;;;;;;
113;10:13;10:13;60;10:15;10:15;103;10:16;10:16;102;10:17;10:17;111;10:19;10:19;95;10:20;10:20;2;10:21;10:21;123;10:23;10:23;107;10:25;10:25;97;10:27;10:27;23;10:28;10:28;96;10:30;10:30;12;10:31;10:31;6;10:33;-1;;;;;;;;;;;;;;;
6;10:18;10:18;66;10:19;10:19;107;10:21;10:21;123;10:23;10:23;45;10:25;10:25;68;10:26;10:26;60;10:27;10:27;113;10:30;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;10:27;10:27;60;10:29;10:29;68;10:30;10:30;45;10:31;10:31;123;10:33;10:33;107;10:35;10:35;97;10:37;10:37;40;10:38;10:38;49;10:39;10:39;18;10:41;10:41;98;10:42;10:42;35;10:43;10:43;34;10:44;10:44;96;10:45;10:45;12;10:46;10:46;6;10:48;-1;;;;;;;;;
