1;217;34;41
2;255;240;1
3;210;139;177
4;238;165;151
4_13;238;165;151
5;7;74;142
6;216;23;126
7;133;191;65
9;145;157;186
9C;86;72;139
11;0;103;83
12_3;230;122;44
12;230;122;44
13;150;207;190
13_4;150;207;190
14;172;220;236
15;226;190;43
908;182;72;38
