2;1;1594;2029
3;1;3773;5021
3;2;3382;4584
4;1;2413;3035
4;2;863;1064
4;3;3244;4337
5;1;229;290
5;2;1276;1739
5;3;3992;5394
5;4;2042;2745
6;1;2853;3596
6;2;1401;1767
6;3;4509;6057
6;4;1295;1708
6;5;2624;3306
7;1;2286;2949
7;2;835;1073
7;3;2717;3644
7;4;502;693
7;5;2200;2812
7;6;1750;2343
8;1;3735;4941
8;2;2510;3342
8;3;1759;2261
8;4;1772;2433
8;5;3673;4863
8;6;3068;4141
8;7;1682;2253
9;1;1835;2384
9;2;338;424
9;3;3127;4180
9;4;844;1151
9;5;1606;2094
9;6;1575;2052
9;7;618;859
9;8;2122;2918
10;1;3622;4815
10;2;2397;3216
10;3;1249;1626
10;4;2036;2780
10;5;3560;4737
10;6;3431;4619
10;7;1681;2276
10;8;661;950
10;9;1924;2620
11;1;3734;4936
11;2;2509;3337
11;3;1404;1780
11;4;2114;2914
11;5;3672;4858
11;6;3410;4622
11;7;1667;2237
11;8;341;481
11;9;2171;2913
11;10;396;469
12;1;3135;3980
12;2;1683;2151
12;3;4791;6441
12;4;1417;1908
12;5;2906;3690
12;6;282;384
12;7;2074;2797
12;8;3188;4305
12;9;1923;2436
12;10;3738;5073
12;11;3543;4787
13;1;1513;1954
13;2;1761;2350
13;3;5131;6813
13;4;2473;3267
13;5;1396;1797
13;6;2615;3491
13;7;2499;3320
13;8;4146;5622
13;9;2108;2773
13;10;4033;5377
13;11;4235;5687
13;12;2900;3875
14;1;1747;2234
14;2;1714;2290
14;3;5075;6763
14;4;2384;3149
14;5;1630;2077
14;6;2568;3431
14;7;2452;3260
14;8;4099;5562
14;9;2049;2696
14;10;3986;5317
14;11;4188;5627
14;12;2853;3815
14;13;234;280
15;1;3854;5102
15;2;2629;3503
15;3;1542;1966
15;4;2103;2900
15;5;3792;5024
15;6;3399;4608
15;7;1787;2403
15;8;331;467
15;9;2291;3079
15;10;534;655
15;11;185;256
15;12;3526;4772
15;13;4403;5853
15;14;4315;5793
16;1;3456;4567
16;2;2231;2968
16;3;1661;2148
16;4;1923;2655
16;5;3394;4489
16;6;3139;4211
16;7;1389;1868
16;8;534;761
16;9;1893;2544
16;10;357;445
16;11;257;369
16;12;3364;4556
16;13;4005;5318
16;14;3917;5258
16;15;378;535
17;1;3624;4788
17;2;2399;3189
17;3;1508;1926
17;4;2091;2876
17;5;3562;4710
17;6;3307;4432
17;7;1557;2089
17;8;381;539
17;9;2061;2765
17;10;500;615
17;11;104;147
17;12;3576;4843
17;13;4173;5539
17;14;4085;5479
17;15;225;313
17;16;168;221
18;1;3239;4172
18;2;1645;2143
18;3;3908;5203
18;4;1175;1595
18;5;3010;3882
18;6;917;1185
18;7;1631;2197
18;8;2279;3077
18;9;1677;2218
