90 St - Elmhurst Av;72;40.74840799999998;-73.876613;UNKNOWN;UNKNOWN
111 St;73;40.75173000000001;-73.855334;UNKNOWN;UNKNOWN
103 St - Corona Plaza;74;40.749865;-73.8627;UNKNOWN;UNKNOWN
182 - 183 Sts;75;40.85609299999999;-73.900741;UNKNOWN;UNKNOWN
145 St;76;40.82042100000001;-73.936245;UNKNOWN;UNKNOWN
Harlem - 148 St;77;40.82388;-73.93647;UNKNOWN;UNKNOWN
Pelham Pkwy;78;40.857192;-73.867615;UNKNOWN;UNKNOWN
Huguenot;79;40.53367399999999;-74.19179399999999;UNKNOWN;UNKNOWN
Bronx Park East;80;40.848828;-73.868457;UNKNOWN;UNKNOWN
Long Island City - Court Sq;81;40.746554;-73.943832;UNKNOWN;UNKNOWN
Fordham Rd;82;40.86129600000001;-73.897749;UNKNOWN;UNKNOWN
Great Kills;83;40.551231;-74.151399;UNKNOWN;UNKNOWN
18 Av;84;40.60795400000001;-74.001736;UNKNOWN;UNKNOWN
E 180 St;85;40.841893999999996;-73.873488;UNKNOWN;UNKNOWN
Kingsbridge Rd;86;40.86697799999999;-73.893509;UNKNOWN;UNKNOWN
Queens Plaza;87;40.74897300000001;-73.937243;UNKNOWN;UNKNOWN
96 St;88;40.79391900000002;-73.972323;UNKNOWN;UNKNOWN
Eltingville;89;40.544601;-74.16457;UNKNOWN;UNKNOWN
79 St;90;40.613500999999985;-74.00061;UNKNOWN;UNKNOWN
Essex St;91;40.71831499999999;-73.987437;UNKNOWN;UNKNOWN
Euclid Av;92;40.675377;-73.872106;UNKNOWN;UNKNOWN
59 St;93;40.76252600000001;-73.967967;UNKNOWN;UNKNOWN
Pelham Bay Park;94;40.852462;-73.828121;UNKNOWN;UNKNOWN
Bay Pkwy;95;40.61181500000001;-73.981848;UNKNOWN;UNKNOWN
West Farms Sq - E Tremont Av;96;40.840295;-73.880049;UNKNOWN;UNKNOWN
Mosholu Pkwy;97;40.87975;-73.884655;UNKNOWN;UNKNOWN
Bowery;98;40.72028;-73.993915;UNKNOWN;UNKNOWN
68 St - Hunter College;99;40.768141000000014;-73.96387;UNKNOWN;UNKNOWN
Kings Hwy;100;40.60392300000001;-73.980353;UNKNOWN;UNKNOWN
174 St;101;40.837288;-73.887734;UNKNOWN;UNKNOWN
Woodlawn;102;40.88603699999999;-73.878751;UNKNOWN;UNKNOWN
77 St;103;40.773619999999994;-73.959874;UNKNOWN;UNKNOWN
Sutphin Blvd - Archer Av - JFK Airport;104;40.70048600000001;-73.807969;UNKNOWN;UNKNOWN
